material,color,english
"abs","Bronz","Bronze"
"abs","Ezüst","Silver"
"abs","Fehér","White"
"abs","Fekete","Black"
"abs","Narancssárga","Orange"
"abs","Piros","Red"
"abs","Sárga","Yellow"
"abs","Sötétkék","Dark Blue"
"abs","Sötétszürke","Dark Gray"
"abs","Világosszürke","Light Gray"
"abs","Zöld","Green"
"asa","Ezüst","Silver"
"asa","Fehér","White"
"asa","Fekete","Black"
"asa","Narancssárga","Orange"
"asa","Piros","Red"
"asa","Sötétkék","Dark Blue"
"asa","Sötétszürke","Dark Gray"
"asa","Világoskék","Light Blue"
"asa","Világosszürke","Light Gray"
"asa","Világoszöld","Light Green"
"carbon fiber","Fekete","Black"
"gyanta (resin)","Betonszürke","Betonszürke"
"gyanta (resin)","Fehér","White"
"gyanta (resin)","Forgalmi Lila","Forgalmi Lila"
"gyanta (resin)","Jelző Sárga","Jelző Sárga"
"gyanta (resin)","Kék","Blue"
"gyanta (resin)","Mélyfekete","Mélyfekete"
"gyanta (resin)","Piros","Red"
"gyanta (resin)","Tisztazöld","Tisztazöld"
"magic pla","Deep Space","Deep Space"
"magic pla","Frozen Gold","Frozen Gold"
"magic pla","Frozen Lavender","Frozen Lavender"
"magic pla","Juicy Peach","Juicy Peach"
"magic pla","Metallic Emerald","Metallic Emerald"
"magic pla","Sunset Sky","Sunset Sky"
"metal","Acél hatású","Acél Hatású"
"metal","Bronz hatású","Bronz Hatású"
"metal","Réz hatású","Réz Hatású"
"nylon","Fekete","Black"
"petg","Átlátszó","Transparent"
"petg","Átlátszó Kék","Transparent Blue"
"petg","Átlátszó Piros","Transparent Red"
"petg","Átlátszó Sárga","Transparent Yellow"
"petg","Átlátszó Zöld","Transparent Green"
"petg","Bronz","Bronze"
"petg","Ezüst","Silver"
"petg","Fehér","White"
"petg","Fekete","Black"
"petg","Neon Narancssárga","Neon Orange"
"petg","Neon Sárga","Neon Yellow"
"petg","Piros","Red"
"petg","Sötétkék","Dark Blue"
"petg","Sötétszürke","Dark Gray"
"petg","Világoskék","Light Blue"
"pla","Arany","Gold"
"pla","Barna","Brown"
"pla","Ezüst","Silver"
"pla","Fehér","White"
"pla","Fekete","Black"
"pla","Glow","Glow"
"pla","Kék","Blue"
"pla","Lila","Purple"
"pla","Narancssárga","Orange"
"pla","Neon Narancssárga","Neon Orange"
"pla","Neon Sárga","Neon Yellow"
"pla","Neon Zöld","Neon Green"
"pla","Pasztellkék","Pastel Blue"
"pla","Pasztellrózsaszín","Pastel Pink"
"pla","Pasztellzöld","Pastel Green"
"pla","Pink","Pink"
"pla","Piros","Red"
"pla","Sárga","Yellow"
"pla","Sötétkék","Dark Blue"
"pla","Sötétszürke","Dark Gray"
"pla","Sötétzöld","Dark Green"
"pla","Világosszürke","Light Gray"
"pla","Világoszöld","Light Green"
"stone","Agyag","Agyag"
"stone","Beton","Beton"
"stone","Gránit","Gránit"
"stone","Terrakotta","Terrakotta"
"tpu (hard - a95)","Átlátszó","Transparent"
"tpu (hard - a95)","Ezüst","Silver"
"tpu (hard - a95)","Fehér","White"
"tpu (hard - a95)","Fekete","Black"
"tpu (hard - a95)","Narancssárga","Orange"
"tpu (hard - a95)","Piros","Red"
"tpu (hard - a95)","Sötétkék","Dark Blue"
"tpu (hard - a95)","Sötétszürke","Dark Gray"
"tpu (hard - a95)","Világoskék","Light Blue"
"tpu (hard - a95)","Világosszürke","Light Gray"
"tpu (hard - a95)","Világoszöld","Light Green"
"tpu (medium - a85)","Fehér","White"
"tpu (medium - a85)","Fekete","Black"
"tpu (soft - a70)","Fehér","White"
"tpu (soft - a70)","Fekete","Black"
"wood","Fekete","Black"
"wood","Nature","Nature"
"wood","Sötétbarna","Dark Brown"
"wood","Világosbarna","Light Brown"
"wood","Zöld","Green"
